,feature,coef
968,voix,[3.54524789]
969,voulais,[-4.30126041]
970,voulait,[-4.18162938]
971,voulait savoir,[-1.38737203]
972,voulez,[-2.01292666]
973,voulu,[3.10379427]
974,voulu savoir,[1.37033593]
975,voulu savoir si,[1.37208907]
976,voyais,[-2.5994268]
977,voyait,[-0.76163115]
978,vrai,[0.68088406]
979,vraiment,[-0.15514979]
980,vu,[1.54645122]
981,vue,[-0.03285547]
982,vécu,[-1.41558563]
983,yeux,[-0.45289271]
984,âme,[2.72117536]
985,éclat,[-0.77763255]
986,écoutais,[-0.68650342]
987,écouté,[4.43955726]
988,écrié,[1.7139667]
989,égal,[-6.13572005]
990,église,[-3.52680108]
991,épais,[-0.71966127]
992,épaule,[3.7488357]
993,épaules,[-0.56806277]
994,état,[1.48714195]
995,étendu,[1.63271893]
996,étonné,[-1.37870774]
997,évasion,[-0.74999188]
998,éventails,[1.35250857]
999,évident,[1.7322966]
